mode,feature_set,feature_set_desc,condition,condition_desc,classifier,n_seeds,kappa_mean,kappa_std,kappa_ci_lo,kappa_ci_hi,acc_mean,acc_std,acc_ci_lo,acc_ci_hi,f1_asphyxia_mean,f1_asphyxia_std,f1_deaf_mean,f1_deaf_std,f1_hunger_mean,f1_hunger_std,f1_normal_mean,f1_normal_std,f1_pain_mean,f1_pain_std,sensitivity_mean,sensitivity_std,sensitivity_ci_lo,sensitivity_ci_hi,specificity_mean,specificity_std,specificity_ci_lo,specificity_ci_hi,auc_mean,auc_std,auc_ci_lo,auc_ci_hi,f1_healthy_mean,f1_healthy_std,f1_pathology_mean,f1_pathology_std
multiclass,B,comp+EEFGabor (sin FOSP),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),MLP,5,0.8928,0.0025,0.8906,0.8969,0.92,0.0018,0.9184,0.923,0.9377,0.0043,0.9941,0.0023,0.8147,0.0072,0.9437,0.0044,0.6769,0.0087,,,,,,,,,,,,,,,,
multiclass,B,comp+EEFGabor (sin FOSP),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-lineal,5,0.8719,0.0044,0.8644,0.8753,0.9044,0.0033,0.8987,0.9069,0.9212,0.0024,0.9991,0.0011,0.7682,0.0138,0.9309,0.004,0.6231,0.0093,,,,,,,,,,,,,,,,
multiclass,B,comp+EEFGabor (sin FOSP),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-RBF,5,0.9106,0.0024,0.908,0.9145,0.9333,0.0018,0.9313,0.9362,0.9489,0.0033,0.9977,0.0005,0.8474,0.0049,0.9521,0.0023,0.7067,0.0068,,,,,,,,,,,,,,,,
multiclass,B,comp+EEFGabor (sin FOSP),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-polinomial,5,0.9045,0.0027,0.902,0.9087,0.9287,0.002,0.9269,0.9319,0.9431,0.0031,0.9943,0.0005,0.8441,0.0062,0.9408,0.003,0.7181,0.0134,,,,,,,,,,,,,,,,
multiclass,B,comp+EEFGabor (sin FOSP),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),kNN,5,0.8452,0.004,0.841,0.8518,0.8834,0.003,0.8802,0.8884,0.9169,0.0047,0.9716,0.002,0.7652,0.0094,0.8806,0.0036,0.6775,0.0117,,,,,,,,,,,,,,,,
multiclass,B,comp+EEFGabor (sin FOSP),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),RandomForest,5,0.9144,0.0034,0.9094,0.9188,0.9362,0.0025,0.9324,0.9394,0.937,0.0026,0.9914,0.0012,0.8638,0.006,0.9482,0.0023,0.7787,0.0169,,,,,,,,,,,,,,,,
multiclass,B,comp+EEFGabor (sin FOSP),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),MLP,5,0.8897,0.0038,0.8836,0.8936,0.9177,0.0028,0.9132,0.9206,0.932,0.0018,0.9941,0.0015,0.814,0.0104,0.9392,0.0042,0.6733,0.0105,,,,,,,,,,,,,,,,
multiclass,B,comp+EEFGabor (sin FOSP),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),SVM-lineal,5,0.8775,0.0026,0.8739,0.8814,0.9086,0.002,0.9059,0.9115,0.9253,0.0007,0.9993,0.0002,0.7795,0.0078,0.934,0.0,0.6367,0.0092,,,,,,,,,,,,,,,,
multiclass,B,comp+EEFGabor (sin FOSP),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),SVM-RBF,5,0.9102,0.0016,0.9084,0.912,0.933,0.0012,0.9317,0.9343,0.9496,0.0015,0.9982,0.0004,0.8458,0.0035,0.9521,0.0018,0.7015,0.0073,,,,,,,,,,,,,,,,
multiclass,B,comp+EEFGabor (sin FOSP),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),SVM-polinomial,5,0.9068,0.0025,0.9033,0.91,0.9304,0.0019,0.9278,0.9328,0.948,0.0031,0.995,0.0004,0.8447,0.0036,0.9435,0.0019,0.7198,0.0079,,,,,,,,,,,,,,,,
multiclass,B,comp+EEFGabor (sin FOSP),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),kNN,5,0.8559,0.0058,0.8487,0.8642,0.8915,0.0044,0.8861,0.8978,0.9209,0.0031,0.9717,0.0025,0.7867,0.0085,0.8903,0.0054,0.6974,0.0143,,,,,,,,,,,,,,,,
multiclass,B,comp+EEFGabor (sin FOSP),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),RandomForest,5,0.9179,0.0013,0.9162,0.9196,0.9388,0.0009,0.9375,0.94,0.9416,0.0017,0.992,0.0002,0.8695,0.0032,0.9495,0.0015,0.7843,0.0089,,,,,,,,,,,,,,,,
multiclass,C,FOSP+comp+EEFGabor (sin reduc.),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),MLP,5,0.8834,0.0057,0.8777,0.8925,0.913,0.0042,0.9088,0.9197,0.9283,0.0032,0.9935,0.0017,0.7977,0.011,0.9329,0.0056,0.6721,0.0208,,,,,,,,,,,,,,,,
multiclass,C,FOSP+comp+EEFGabor (sin reduc.),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-lineal,5,0.863,0.0036,0.8585,0.8684,0.8977,0.0027,0.8944,0.9018,0.9134,0.005,0.9991,0.0008,0.7545,0.0089,0.9235,0.0035,0.6025,0.0196,,,,,,,,,,,,,,,,
multiclass,C,FOSP+comp+EEFGabor (sin reduc.),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-RBF,5,0.9049,0.0018,0.9025,0.9071,0.9291,0.0013,0.9273,0.9307,0.9455,0.0053,0.9934,0.001,0.8418,0.0017,0.9479,0.0026,0.7031,0.0077,,,,,,,,,,,,,,,,
multiclass,C,FOSP+comp+EEFGabor (sin reduc.),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-polinomial,5,0.9,0.0046,0.8952,0.9076,0.9253,0.0034,0.9217,0.931,0.9398,0.003,0.9951,0.0003,0.8366,0.0075,0.9411,0.0036,0.6951,0.0199,,,,,,,,,,,,,,,,
multiclass,C,FOSP+comp+EEFGabor (sin reduc.),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),kNN,5,0.8298,0.0099,0.8136,0.8408,0.8712,0.0076,0.8588,0.8795,0.9105,0.0062,0.9581,0.0027,0.764,0.0202,0.8677,0.0124,0.6642,0.0207,,,,,,,,,,,,,,,,
